,TITLE,NAME,WAGE,WAGE_DETAIL,Jangyo,Jangyowage,Jangyo_detail,Transp_fee,incen_detail,recruit_point
,★国内No.1シェア自社サービス★顧客への価値貢献をやりがいと感じられる方へ～,ポーターズ株式会社,250000,,30,47500,３０時間を超えた場合は１分単位で精算し支給します。,50000,"会社の目標達成し決算賞与が支給されます。
※２０１７年，２０１８年支給実績あり。","・自ら行動ができる方 
・担当している機能を成功させるためにチームを引っ張っていける力。 
・報告や連絡、相談がしっかりとできる方
・基本的なコンピュータサイエンスの知識 
・スクラムマスターの経験がある方優遇 
・AWSのスキルと経験がある方優遇"
,お客様、社会にとって、「最も必要とされる存在」となるために【ITスペシャリスト】,日本アイビーエム・ソリューション・サービス株式会社,1,"修士了：265,000円
大学卒：254,000円",0,0,全額支給,0,年2回（当社規定による）,
,お客様、社会にとって、「最も必要とされる存在」となるために【アプリケーション・プログラマー】】,日本アイビーエム・ソリューション・サービス株式会社,1,"大学院了：　月給206,000円
大学卒：　　月給201,000円
短大／専門学校／高専卒：月給192,000円",0,0,時間外勤務手当支給,0,年2回（当社規定による）,
,ITエンジニア,キャル株式会社,230000,,0,0,,0,,
,2019年夏【システムエンジニア・フィールドエンジニア・プログラマ・QAエンジニア募集要項】,株式会社セキュア,228400,"経験に応じて、下記範囲にて決定致します。
月額支給：228,400円～284,800円
年収：3,140,800円～3,817,600円",40,58400,,50000,"年2回支給
（40万：2回の評価共に、標準評価の場合の想定賞与金額）",
,システムエンジニア募集,株式会社ネクスチャー,257000,,0,0,,20000,1年1回、MAXで基本給料の1ヶ月分(成果・能力による),
,開発エンジニア職,"NEXTkey,Inc.",220300,"・基本給や職務手当は新卒基準の最低金額
・住宅手当：会社と同じ区内に住む社員に対して、1～3万円を手当として支給",40,52800,"・新卒基準の最低金額
・基本給や職務手当によって金額の変動",30000,"年2回(6月、12月)
※設立から現在まで全員支給実績あり。(平均1ヵ月分/1回)
※過去半期(6ヶ月)の会社・個人業績、勤務成に応じ支給
※6ヶ月以上の勤続で支給対象",JAVA言語以外でもPHPやnode.js、pythonなどでの開発経験や学習経験者優遇
,webアプリケーション開発エンジニア募集！外国籍エンジニア20％在籍！自社内での開発メイン！,バレアル,190000,"東京勤務の場合は都市勤務手当として20,000円を支給します。",45,46600,,20000,入社から2年目以降に支給。ただし、業績および貢献度による。,"個人での開発または他社での開発実績があれば経験者として優遇します。
Ruby経験者（実務）は優遇します。"
,ルウガルソン株式会社 2019年度SESOC Summer JOB Fair 募集要項,ルウガルソン株式会社,270000,客先PJ参画時に現場手当をお支払いします。,0,0,時間外手当等については、社内規定による,0,年2回（社内規定による）,IT技術者としての基礎知識の有無を判断する参考とします。
,オープン系システムエンジニア職,株式会社キーポート・ソリューションズ,250000,"→月額250,000円（30時間相当の固定払残業代49,050円を含む）
月の残業が30時間を超えてしまった場合は、超過時間の残業代を追加払いします",0,0,,0,年俸の他にプロジェクト毎のインセンティブ制度有,プログラミング経験者、IT資格保有者は基本給の月額金額を優遇します。（試用期間中であっても優遇します。）
,サーバー構築orアプリ開発エンジニア募集！家電付社員寮あり、日本語研修あり、年間休日125日程度！,Cross Power,222214,"入社後約2,3カ月は研修期間となり残業が発生しませんので、みなし残業手当は配属後から付きます。",12,18214,法定労働時間以上で支給します。,40000,年2回（1月・7月）支給。年間平均1.6カ月分程度。,
,日本語とICTプログラミング言語の教育を得て巣立たれた皆様の力を当社で発揮してください,株式会社シンメトリクス,203000,,0,0,,30000,年2回、計2ヶ月分,
,☆SE＆PG募集,株式会社トマト,267722,,30,42722,"※詳しくは下記のURLへ
https://bit.ly/2FwI1My",20000,基本給×1.5×2回（7月、12月）,"※詳しくは下記のURLへ
https://bit.ly/2FwI1My"
,【自社勤務・プライム案件9割】世界のE・Commerceを面白くするエンジニア　残業時間平均20ｈ,Ui2 Corporation,220000,"記載情報は、弊社の最低限の給与です。
皆様にお会いしまして、個人個人のよいところやご経験を加味して、最終的な給与をご提案させていただきます。きっとご満足いただけると思います。
実績として、初年度年俸が300万円以上です。
また、給与は年に一度ではなく、何度か見直しを行い適正な処遇をもって迎えます。",20,30000,弊社は特に残業時間を少なくするよう、常時努めております。その効果は、平均残業時間がみなし残業時間以下というよい状況になっております。また、突発的に残業時間が増えたような場合は、代休をとってもらい、残業時間の抑制に努めております。,40000,,"【以下のような方は歓迎いたします】
・プログラミング能力に加え、ビジネスや業務に関する理解力がある方 
・フレキシブルに物事に対応できる柔軟性がある方
・調整能力、コミュニケーション能力に自信がある方
・ECや新技術を駆使した最先端のサービスに興味がある方"
